Project,BIC,BFC,Bug-inducing Development Activity,Compatibility Errors,Intrinsic Errors,Location With Fixing Changes,Feature Interaction,Knowledge,Change Size,Description
yegor256/cactoos,7775a67e7a6ce47f8a6a54309a21221147cb0328,04cbe164b6d65830374c282cdf01f1ca9a27f37f,feat,No,Unchecked Null,Same Location,0,Programming,945,"bic overrides the hashcode and equals methods for MapEnvelope, but does not handle when entry.value is empty"
alibaba/fastjson,75cea7753a57847538ca9c6c59b0687cd9589b7b,07e7ba5982fe0ba3e8a75ba034102d8d71c1f1d0,perf,No,Business Error,Same Method,0,Project & Domain,381,"Bic wants to optimize the performance of deserializing floating point numbers. When the length is small, it is calculated directly, but the related integer variables use the int type, which causes an overflow error."
alibaba/fastjson,12fd92fb1c41e5b9aa6ec4455d8802911e179052,f5e9d59a441601f517a1cc9efe10d5ee72864ca8,feat,No,Business Error,Same Method,0,Project & Domain,420,"Previously, BIC could only parse fieldnames with _ in the front. BIC wanted to support _ in other positions, so it directly replaced _, causing a and a_ to point to the same field."
jhy/jsoup,2cce405d1eed3536b222f830220ef32f5a2937d7,7c60ac132afc0034da18bfe969e18046994f9427,fix,Data Flow,No,Same Class,1,Project & Domain,419,"Before BIC, the unknown tag was treated as a block by default. BIC changed it to inline, but the center tag was not processed at this time."
jmrozanec/cron-utils,aeaff59fbbcaf65363ac75eb29cb589ed6c855f8,e3e2188827100a2236338b7c754057b118daadf1,feat,No,Business Error,Same Method,0,Project & Domain,1948,"bic divides the nextExecution of the work version into multiple methods, but reduces the process. The work version uses NearestValue daysValue = days.getNextValue(day, hoursValue.getShifts()); to calculate the next day"
jmrozanec/cron-utils,1ca44547bfda1b7f86388df3095bcdc1dfe29d0d,137a6e8283bee70cffa653cd5cc77fc5841cd42e,feat,Data Flow,No,Different Packages,0,Project,3142,"The default values ​​of start and end are 1, 12, 1, and 31. So when period is set to 12 intervals, the above condition is False, causing an exception to be thrown later."
jmrozanec/cron-utils,fe62c30f1f8fa0b15570656d104ab0b6b63ef7e1,8127cb46331d77ae84c5b2594e54deaf809cb690,feat,No,Business Error,Same Method,1,Domain,10827,"Bic adds adaptation for last day and support for L character. Instead of using corresponding API (key is searched in map, no attempt is made to convert to int), it directly converts to int, causing exception to be thrown."
jmrozanec/cron-utils,190b51de680b0b55b4f3fff466e4299516074a0f,b173df7c5ba6f9042ed388380b94e2c249765d94,refactor,No,Business Error,Same Method,0,Programming,2640,"Bic has done a lot of refactoring and modified the logic of buildPossibleExpressions, which makes it unable to support multiple situations."
jmrozanec/cron-utils,ad5c907cb8ce0e31ddae131d51df89c78475c426,4f6fb3c01077574271dc8874d32118eb5474f898,feat,No,Business Error,Same Location,0,Project & Domain,1802,Bic tries to enhance parsing and directly returns every hour when both minutes and seconds are 0. This logic is incorrect.
yegor256/cactoos,7d703932682ab2094f62f45588b7db9fcd15acea,b0f97d7c9b3044d733995da4815b04c34d87c331,feat,Invocation,No,Same Package,1,Project,348,"Add overload WriterAsOutputStream.close(). There is a call to output.close in TeeInputStream. It should be changed to output.flush. The previous close does nothing. Now the closed of Writer is set to true, which is not allowed."
