Project,Project Stars,Number of Bugs,Project Description
alibaba/fastjson,25748,80,Fastjson is a Java library that can be used to convert Java Objects into their JSON representation. It can also be used to convert a JSON string to an equivalent Java object
jhy/jsoup,10943,17,"jsoup: the Java HTML parser, built for HTML editing, cleaning, scraping, and XSS safety."
google/closure-templates,640,10,A client- and server-side templating system that helps you dynamically build reusable HTML and UI elements
uniVocity/univocity-parsers,912,9,"uniVocity-parsers is a suite of extremely fast and reliable parsers for Java. It provides a consistent interface for handling different file formats, and a solid framework for the development of new parsers."
alibaba/druid,27961,9,"DataWorks, a product from the Alibaba Cloud Computing Platform (https://help.aliyun.com/document_detail/137663.html), is a database connection pool designed for monitoring purposes."
INRIA/spoon,1751,8,"Spoon is a metaprogramming library to analyze and transform Java source code. :spoon: is made with :heart:, :beers: and :sparkles:. It parses source files to build a well-designed AST with powerful analysis and transformation API."
mikera/vectorz,243,7,Fast and flexible numerical library for Java featuring N-dimensional arrays
jqno/equalsverifier,708,7,EqualsVerifier can be used in Java unit tests to verify whether the contract for the equals and hashCode methods is met.
jdereg/java-util,418,6,"Rare, hard-to-write utilities that are thoroughly tested"
jmrozanec/cron-utils,1151,5,"Cron utils for parsing, validations and human readable descriptions as well as date/time interoperability."
yegor256/cactoos,743,4,"Object-Oriented Java primitives, as an alternative to Google Guava and Apache Commons"
davidmoten/rtree,1093,4,Immutable in-memory R-tree and R*-tree implementations in Java with reactive api
classgraph/classgraph,2766,4,An uber-fast parallelized Java classpath scanner and module scanner.
spring-projects/spring-hateoas,1036,4,Spring HATEOAS - Library to support implementing representations for hyper-text driven REST web services.
decorators-squad/eo-yaml,261,4,YAML for Java 8 and above. A user-friendly OOP library. Previously known as "Camel".
apache/commons-compress,336,3,Apache Commons Compress
assertj/assertj-core,2624,3,AssertJ is a library providing easy to use rich typed assertions
crawler-commons/crawler-commons,237,3,A set of reusable Java components that implement functionality common to any web crawler
brettwooldridge/HikariCP,19984,3,"HikariCP・A solid, high-performance, JDBC connection pool at last."
Commonjava/partyline,4,3,Concurrent File write + multiple read for servers that proxy content
bguerout/jongo,584,3,Query in Java as in Mongo shell
lemire/javaewah,561,3,A compressed alternative to the Java BitSet class
cflint/CFLint,174,3,Static code analysis for CFML (a linter)
antlr/stringtemplate4,950,2,StringTemplate 4
jeffheaton/encog-java-core,742,2,Encog is a pure-Java/C# machine learning framework
damianszczepanik/cucumber-reporting,546,2,HTML reports for Cucumber
jeffdcamp/dbtools-query,4,2,Kotlin Multiplatform library to build sql queries.
PapenfussLab/gridss,255,2,GRIDSS: the Genomic Rearrangement IDentification Software Suite
